city,latitude,longitude,timestamp,category
Mumbai,19.030209401857363,72.95722455454678,2008-09-19T11:25:57.166790,Assault
Pune,18.726409368041747,73.6999571194796,2004-12-17T11:10:22.537284,Assault
Chennai,13.25234129777252,80.06383016568985,2008-11-05T09:11:55.872723,Assault
Patna,25.61286752809732,85.24737146166473,2012-05-10T10:10:02.861685,Assault
Indore,22.967463702936456,75.64767181196893,2021-02-25T08:09:20.142837,Assault
Ahmedabad,23.058296244952025,72.48457026238307,2016-04-26T20:13:30.180417,Assault
Patna,25.704752982608778,85.16089591907071,2021-09-04T20:51:24.687285,Assault
Chennai,13.095504428257064,80.45393368483958,2011-11-17T05:50:56.523460,Assault
Indore,22.63900673236408,76.00104670734349,2010-07-02T19:24:57.565562,Assault
Chennai,12.916074451376627,80.22392780634773,2020-06-11T02:35:28.237217,Assault
Delhi,28.622983679192725,77.18842413118531,2015-05-02T02:53:48.564681,Assault
Surat,21.259253334137068,72.89755501620387,2006-04-02T13:57:55.342216,Assault
Lucknow,26.887028231283598,81.0519999552474,2008-05-23T02:17:12.459025,Assault
Chandigarh,30.67884650641167,76.55910988219262,2004-05-10T12:36:35.549426,Assault
Lucknow,26.7821178670783,80.94052992043376,2019-01-05T14:41:49.295349,Assault
Indore,22.665460442738304,76.02852124005985,2005-09-11T22:35:36.118650,Assault
Surat,21.318583688305218,72.67819199956708,2017-11-07T02:30:32.763980,Assault
Delhi,28.667659920363207,77.2593171489223,2021-06-25T03:14:43.768380,Assault
Patna,25.593593333812183,85.11040270799663,2016-06-10T16:11:33.513973,Assault
Patna,25.52321422013103,84.92352758431294,2020-02-26T16:23:33.314899,Assault
Indore,22.63495067679614,76.04443885342523,2019-11-12T18:00:46.939477,Assault
Bengaluru,12.903413108529621,77.67991498550637,2009-01-30T07:55:41.886812,Assault
Surat,21.01421341316378,73.0635095771794,2008-10-07T20:25:11.541428,Assault
Mumbai,19.19182038601438,73.07707437431348,2003-04-22T14:05:36.128606,Assault
Pune,18.54897176634834,73.79381642746894,2023-05-03T20:49:39.412256,Assault
Ahmedabad,23.126479822090555,72.65574251718157,2010-03-07T09:16:59.174868,Assault
Surat,21.123880017596576,72.6776465118337,2021-01-24T20:37:19.618198,Assault
Patna,25.822154681157134,85.32405157522852,2022-07-06T06:20:49.530681,Assault
Pune,18.61638239599279,73.79368483703725,2018-02-11T19:26:56.178517,Assault
Hyderabad,17.57759921096205,78.31619443692544,2010-02-18T06:36:58.122834,Assault
Patna,25.66106933517555,85.02869040907235,2023-03-19T19:49:25.977848,Assault
Jaipur,27.11696366757429,75.74131903935108,2014-07-01T15:22:29.783447,Assault
Patna,25.543720047333625,84.9552014539102,2003-11-07T05:13:33.243961,Assault
Bengaluru,13.061188161061123,77.74714938646947,2020-04-22T21:17:59.866746,Assault
Jaipur,26.723257568610283,75.56132886296878,2023-06-25T07:21:38.925370,Assault
Chandigarh,30.780866103031055,76.58226022545988,2017-03-17T17:39:38.347065,Assault
Chandigarh,30.8005111213289,77.02541786907574,2012-11-04T04:20:59.503678,Assault
Delhi,28.83179722379066,77.21199464403904,2017-07-22T22:31:39.180925,Assault
Patna,25.654366467656512,85.0050947813451,2018-03-04T01:35:06.106542,Assault
Ahmedabad,22.77501523022848,72.50086969498415,2012-10-08T07:39:43.944702,Assault
Ahmedabad,22.86860911397146,72.66997815300306,2011-10-22T10:44:55.347037,Assault
Jaipur,26.91621288368138,75.57439157031466,2011-12-04T08:30:10.801120,Assault
